Knocked Genes,Knocked Count,Fitness
"134526_AT1,79369_AT1,2745_AT1,1584_AT1,5150_AT2,84735_AT1,84812_AT1,91373_AT1",8,0.0592844327585667
"51022_AT1,1806_AT1,8034_AT1,9380_AT1,3631_AT2,3081_AT1,260293_AT1,9524_AT1",8,0.0553297347721786
"64078_AT1,1559_AT1,9791_AT1,9469_AT1,286297_AT1",5,0.0534503140420755
"6817_AT1,27159_AT2,2629_AT4,2936_AT1,5152_AT17,6821_AT1,57571_AT1,5214_AT1,201164_AT1",9,0.0515268858838275
"6513_AT1,2986_AT1,51604_AT1,83697_AT1,91227_AT1",5,0.0513446194261245
"51179_AT2,113189_AT1,80347_AT1,10164_AT1,3703_AT1",5,0.0487528188885851
"8639_AT1,18_AT2,107_AT1,6470_AT1,6560_AT1,30833_AT1,9957_AT1,1356_AT1,29925_AT1,1358_AT1",10,0.0482673313490233
"6515_AT1,59272_AT1,5476_AT1,1558_AT2,4837_AT1,122618_AT1",6,0.0457623405691791
"7108_AT1,1633_AT1,272_AT1",3,0.0451879063095088
"9153_AT1,411_AT1",2,0.0447881746777827
"6517_AT1,873_AT1,343_AT1,54659_AT1,6569_AT1",5,0.0434429165500813
"166785_AT1,115286_AT2,3251_AT1,7360_AT2,6652_AT1,1267_AT1,374291_AT1,5408_AT1,3069_AT1",9,0.0429709294928204
"26289_AT2,8560_AT2,7371_AT1,5048_AT1,412_AT1,37_AT1,765_AT1",7,0.0426599464741512
"4056_AT2,6821_AT1,54981_AT1,5948_AT1,5860_AT1,1800_AT1,3156_AT1,260293_AT1",8,0.0423086792584753
"9153_AT1,112483_AT1",2,0.0418160375504144
64174_AT1,1,0.0415815920132518
"5409_AT1,1800_AT1",2,0.0396667355724128
"30_AT1,6515_AT1,3420_AT3,3421_AT2,5151_AT5,5152_AT3,2173_AT1",7,0.0391951476760952
"52_AT2,7108_AT1,10390_AT1,5836_AT1,132_AT1,51079_AT1,51099_AT1,146664_AT1",8,0.0389455232527093
"1244_AT1,271_AT1,1152_AT1,978_AT1,2731_AT1,5297_AT1,3767_AT1,6553_AT1,4953_AT1,3930_AT1",10,0.0388813501319922
"64078_AT1,10841_AT1,11343_AT1,51447_AT6,8611_AT2,3658_AT1,4025_AT1,4705_AT1,341392_AT1,146802_AT1",10,0.038759914202034
"79087_AT1,57678_AT1,2983_AT1,80271_AT1,5833_AT1,5335_AT2,79717_AT1,4695_AT1,57198_AT1,9869_AT1",10,0.0384673181686142
"1040_AT1,3283_AT1,178_AT4,4258_AT1,5137_AT1,4952_AT2,1080_AT1,4714_AT1,403313_AT1",9,0.0380504395104959
"43_AT1,1040_AT1,1119_AT2,5050_AT1,5092_AT2,131669_AT1",6,0.0373264598955206
"9245_AT1,80270_AT1,54511_AT1,2495_AT1,2766_AT1,3614_AT2,259230_AT1",7,0.0366128649370603
"7299_AT1,2632_AT1,4023_AT1,5142_AT1,55217_AT1,11181_AT1,94033_AT1,29968_AT1,58508_AT1,7381_AT1",10,0.0364239718339476
4712_AT2,1,0.0361995088277552
4726_AT1,1,0.0361995088277552
4731_AT2,1,0.0361995088277552
4724_AT1,1,0.0361995088277552
4718_AT1,1,0.0361995088277552
"262_AT1,4708_AT1",2,0.0361788318616602
"1610_AT1,1723_AT1,6555_AT1,1152_AT1,2135_AT1,5051_AT1,5137_AT1,5152_AT19,9953_AT1,7991_AT1",10,0.0355907388691409
"2799_AT1,4724_AT1",2,0.0355086264794189
2170_AT1,1,0.0353478705964061
"51022_AT1,3028_AT1,64220_AT1,118881_AT1,6652_AT1",5,0.0352413577273717
2168_AT1,1,0.0351336027565645
"4713_AT1,9890_AT1",2,0.0343705735674021
"10554_AT1,5130_AT1,64816_AT3,3620_AT1,476_AT1,285440_AT1,374291_AT1,123264_AT1",8,0.034108145321059
60386_AT1,1,0.0339629756840097
"364_AT1,4715_AT1",2,0.0336899682719582
"1738_AT1,64781_AT2,28231_AT1,7360_AT1,5723_AT1",5,0.0333489104011192
"3158_AT1,8396_AT2,7351_AT1,4709_AT1,133121_AT1",5,0.0329746749747283
"2135_AT1,27430_AT1,51447_AT2,875_AT1,2098_AT1,7991_AT1,57104_AT1,11102_AT1",8,0.0329454077966273
"1716_AT5,153201_AT1,51495_AT1,1735_AT1",4,0.0329440603499536
"1384_AT1,8310_AT1,5092_AT2,9376_AT1,125206_AT1,80025_AT2,9896_AT1",7,0.0327271764686672
"8714_AT3,2730_AT1,9376_AT1,762_AT1",4,0.0321010500990221
"84532_AT1,2683_AT1,27087_AT2,178_AT3,117248_AT1,10841_AT1,79077_AT1,4842_AT1,94033_AT1",9,0.0313673221164246
"217_AT1,2876_AT1,27068_AT4,1757_AT1,53354_AT1,23203_AT1,2171_AT1",7,0.0312005089842375
"3177_AT1,56994_AT1,55343_AT1,2184_AT1,2629_AT1",5,0.0311298317060781
"6573_AT2,954_AT1,64816_AT3,1577_AT1,5338_AT1,30061_AT1,2766_AT1",7,0.029947884871522
"2645_AT2,4731_AT1,5406_AT1",3,0.0294585193633654
"53947_AT1,790_AT1,2744_AT1,30833_AT1,7351_AT1",5,0.0293307859208393
"6573_AT2,84649_AT1,1891_AT1,2876_AT1,2673_AT1,4017_AT1,25830_AT1,4724_AT1,56983_AT1,83852_AT1",10,0.0292163684262191
"22856_AT1,5152_AT4,4697_AT1,84869_AT1",4,0.0289581941251779
"89874_AT1,51606_AT1,39_AT1,84679_AT1,339221_AT1,6819_AT1,56898_AT1",7,0.0289533037540819
"2806_AT1,79611_AT1,144195_AT1,27235_AT1,9663_AT1",5,0.0286898344115558
"1312_AT1,9296_AT1,1103_AT1,54577_AT1,55967_AT1",5,0.0285603456041016
"51146_AT1,64781_AT2,27165_AT2,4942_AT1,477_AT1,51227_AT2,1356_AT1,158160_AT1,158584_AT1,374875_AT1",10,0.0276290348033091
"5151_AT2,54963_AT1",2,0.0275162486539507
"314_AT2,28_AT1,2131_AT1,4669_AT1,1588_AT2,343_AT1,27235_AT1,6833_AT1,11332_AT1,58510_AT1",10,0.0274625801596405
"220_AT1,55326_AT1,59272_AT1,1809_AT1,219_AT1,7084_AT1,4259_AT1,11238_AT1,8869_AT1",9,0.0270226533765572
"4967_AT2,115286_AT3,2109_AT2,83549_AT1,5149_AT1",5,0.0268097255927425
"1594_AT1,1610_AT1,55568_AT2,178_AT2,3038_AT1,10396_AT1,28965_AT1,64419_AT1",8,0.0260984440408507
"97_AT2,4729_AT1,26007_AT1",3,0.0259349269487751
"134526_AT1,7173_AT2,51179_AT1,1557_AT1,5137_AT1,9429_AT1,79717_AT1",7,0.0258560554089709
"2571_AT1,2982_AT1",2,0.0258190945065063
8884_AT1,1,0.0254723977044956
682_AT1,1,0.0240464017789878
"28976_AT1,30833_AT1,348932_AT1,79644_AT1,5973_AT1,125965_AT1",6,0.0235182115561464
