"gene_id","logFC","adj.P.Val"
"ENSG00000006576",3.8917881334383,1.598871404441e-35
"ENSG00000006607",5.28230846259034,1.28895490023777e-44
"ENSG00000006611",1.82858587738839,6.38452164971391e-12
"ENSG00000006625",1.53220971200195,2.76948337593536e-13
"ENSG00000006634",1.64097945486857,2.57810320050693e-13
"ENSG00000006638",-0.58842046442154,0.0626092683125911
"ENSG00000006652",4.87827291593641,1.97247560604235e-39
"ENSG00000006695",3.5904676944413,8.29202943247372e-40
"ENSG00000006704",4.73300661422267,1.16968127611139e-47
"ENSG00000006712",4.31331363748517,7.3020886492397e-44
"ENSG00000006715",5.74615846379524,2.44305873333681e-41
"ENSG00000006740",5.94457656121297,9.33615874877343e-51
"ENSG00000006744",4.72945452452709,1.24898190411606e-47
"ENSG00000006747",2.70348229302091,3.41709764733912e-20
"ENSG00000006756",3.51105133560196,5.84714925593922e-37
"ENSG00000006757",2.81288889500075,2.40961233278291e-28
"ENSG00000006831",5.10666998926488,1.13652810278529e-32
"ENSG00000006837",3.22628432285381,1.70762776829956e-40
"ENSG00000007001",1.06550994973096,2.02790489908139e-07
"ENSG00000007047",5.98976095570565,2.3669075201247e-50
"ENSG00000007062",2.43662299323511,5.47744962845305e-16
"ENSG00000007080",4.14785315776941,3.30709769481942e-42
"ENSG00000007168",7.01435811747272,2.68155675569855e-48
"ENSG00000007171",1.76126900678595,3.36770963738293e-15
"ENSG00000007174",3.7110632593373,3.10535993859391e-34
"ENSG00000007202",7.51740041129445,9.19319575020358e-61
"ENSG00000007237",8.28690739394323,1.39409251622845e-52
"ENSG00000007255",1.5138068063937,2.04586250956105e-16
"ENSG00000007264",5.40695819538885,1.22088906153561e-44
"ENSG00000007314",-0.841326908663396,0.027910761319567
"ENSG00000007341",3.66037694456718,1.38191328629638e-40
"ENSG00000007372",4.63852820599356,2.69252857322563e-35
"ENSG00000007376",4.15569189102444,4.58736103116047e-42
"ENSG00000007384",3.67734736064112,1.03368691964118e-28
"ENSG00000007392",5.3895914329054,1.54041581246188e-39
