ENSG00000231852	1589_AT1
ENSG00000019186	1591_AT1
ENSG00000135929	1593_AT1
ENSG00000111012	1594_AT1
ENSG00000146233	51302_AT1
ENSG00000036530	10858_AT1
ENSG00000001630	1595_AT1
ENSG00000134780	747_AT1
ENSG00000164535	221955_AT1
ENSG00000110887	1610_AT1
ENSG00000123454	1621_AT1
ENSG00000155368	1622_AT1
ENSG00000137992	1629_AT1
ENSG00000156136	1633_AT1
ENSG00000080166	1638_AT1
ENSG00000129187	1635_AT1
ENSG00000179958	79077_AT1
ENSG00000169738	51181_AT1
ENSG00000132437	1644_AT1
ENSG00000203797	8528_AT1
ENSG00000104325	1666_AT1
ENSG00000242612	26063_AT1
ENSG00000143753	8560_AT1
ENSG00000168350	123099_AT1
ENSG00000023697	51071_AT1
ENSG00000185000	8694_AT1
ENSG00000062282	84649_AT1
ENSG00000065357	1606_AT1
ENSG00000136267	1607_AT2
ENSG00000077044	8527_AT1
ENSG00000153933	8526_AT1
ENSG00000058866	1608_AT1
ENSG00000102780	160851_AT1
ENSG00000157680	9162_AT1
ENSG00000145214	1609_AT1
ENSG00000149091	8525_AT2
ENSG00000114956	1716_AT3
ENSG00000172893	1717_AT1
ENSG00000116133	1718_AT1
ENSG00000228716	1719_AT1
ENSG00000102967	1723_AT1
ENSG00000100867	10202_AT1
ENSG00000162496	9249_AT1
ENSG00000157326	10901_AT1
ENSG00000073737	10170_AT1
ENSG00000211452	1733_AT1
ENSG00000211448	1734_AT1
ENSG00000197406	1735_AT1
ENSG00000150768	1737_AT1
ENSG00000091140	1738_AT1
ENSG00000119689	1743_AT1
ENSG00000132837	29958_AT1
ENSG00000167130	57171_AT1
ENSG00000104885	84444_AT1
ENSG00000015413	1800_AT1
ENSG00000167261	64174_AT1
ENSG00000141096	64180_AT1
ENSG00000136908	8818_AT2
ENSG00000188641	1806_AT1
ENSG00000147647	1807_AT1
ENSG00000092964	1808_AT1
ENSG00000113657	1809_AT1
ENSG00000168393	1841_AT1
ENSG00000137857	53905_AT2
ENSG00000140279	50506_AT1
ENSG00000144048	8446_AT1
ENSG00000128951	1854_AT1
ENSG00000147155	10682_AT1
ENSG00000104823	1891_AT1
ENSG00000121310	55268_AT1
ENSG00000127884	1892_AT1
ENSG00000167969	1632_AT1
ENSG00000198721	10455_AT1
ENSG00000113790	1962_AT1
ENSG00000181090	79813_AT1
ENSG00000204371	10919_AT1
ENSG00000066322	64834_AT1
ENSG00000197977	54898_AT1
ENSG00000119915	83401_AT1
ENSG00000118402	6785_AT1
ENSG00000012660	60481_AT1
ENSG00000170522	79071_AT1
ENSG00000164181	79993_AT1
ENSG00000074800	2023_AT1
ENSG00000111674	2026_AT1
ENSG00000108515	2027_AT1
ENSG00000145293	58478_AT1
ENSG00000197594	5167_AT1
ENSG00000136960	5168_AT1
ENSG00000154269	5169_AT1
ENSG00000164303	133121_AT1
ENSG00000182156	339221_AT1
ENSG00000138185	953_AT1
ENSG00000054179	954_AT1
ENSG00000168032	956_AT1
ENSG00000197217	9583_AT1
ENSG00000187097	957_AT1
ENSG00000197586	955_AT1
ENSG00000188833	377841_AT1
ENSG00000120915	2053_AT1
ENSG00000121053	8288_AT1
ENSG00000139684	2098_AT1
ENSG00000140374	2108_AT1
ENSG00000105379	2109_AT2
ENSG00000171503	2110_AT1
ENSG00000139163	55500_AT1
ENSG00000143845	55224_AT1
ENSG00000164089	64850_AT1
ENSG00000182197	2131_AT1
ENSG00000151348	2132_AT2
ENSG00000158008	2134_AT1
ENSG00000162694	2135_AT1
ENSG00000012232	2137_AT1
ENSG00000165591	158584_AT1
ENSG00000163586	2168_AT1
ENSG00000145384	2169_AT1
ENSG00000121769	2170_AT1
ENSG00000170323	2167_AT1
ENSG00000164687	2171_AT1
ENSG00000170231	2172_AT1
ENSG00000164434	2173_AT1
ENSG00000205186	646480_AT1
ENSG00000197416	646486_AT1
ENSG00000149485	3992_AT1
ENSG00000134824	9415_AT1
ENSG00000221968	3995_AT1
ENSG00000172782	283985_AT1
ENSG00000103876	2184_AT1
ENSG00000116199	9917_AT1
ENSG00000169710	2194_AT1
ENSG00000170271	10826_AT1
ENSG00000165140	2203_AT1
ENSG00000130957	8789_AT1
ENSG00000079459	2222_AT1
ENSG00000160752	2224_AT1
ENSG00000066926	2235_AT2
ENSG00000172456	55277_AT1
ENSG00000091483	2271_AT1
ENSG00000112367	9896_AT1
ENSG00000160688	80308_AT2
ENSG00000162769	28982_AT1
ENSG00000167363	64122_AT1
ENSG00000141560	79672_AT1
ENSG00000110195	2348_AT2
ENSG00000165457	2350_AT1
ENSG00000110203	2352_AT1
ENSG00000136877	2356_AT1
ENSG00000254685	8790_AT1
ENSG00000160282	10841_AT2
ENSG00000167996	2495_AT1
ENSG00000087086	2512_AT1
ENSG00000181867	94033_AT1
ENSG00000179163	2517_AT1
ENSG00000001036	2519_AT1
ENSG00000174951	2523_AT1
ENSG00000176920	2524_AT1
ENSG00000171124	2525_AT1
ENSG00000196371	2526_AT1
ENSG00000130383	2527_AT1
ENSG00000156413	2528_AT1
ENSG00000180549	2529_AT1
ENSG00000172461	10690_AT1
ENSG00000172728	84750_AT1
ENSG00000196968	170384_AT1
ENSG00000152254	57818_AT1
ENSG00000141349	92579_AT1
ENSG00000160211	2539_AT1
ENSG00000171298	2548_AT1
ENSG00000128683	2571_AT1
ENSG00000136750	2572_AT1
ENSG00000128242	9514_AT1
ENSG00000054983	2581_AT1
ENSG00000117308	2582_AT1
ENSG00000108479	2584_AT1
ENSG00000156958	2585_AT2
ENSG00000141012	2588_AT1
ENSG00000141429	2589_AT1
ENSG00000143641	2590_AT1
ENSG00000115339	2591_AT1
ENSG00000257594	8693_AT1
ENSG00000136542	11227_AT1
ENSG00000139629	11226_AT1
ENSG00000109586	51809_AT1
ENSG00000130035	26290_AT1
ENSG00000182870	50614_AT1
ENSG00000164574	55568_AT2
ENSG00000178234	63917_AT1
ENSG00000119514	79695_AT1
ENSG00000144278	114805_AT1
ENSG00000158089	79623_AT1
ENSG00000131386	117248_AT1
ENSG00000106648	168391_AT1
ENSG00000213930	2592_AT3
ENSG00000130005	2593_AT1
ENSG00000214013	2595_AT1
ENSG00000111640	2597_AT1
ENSG00000105679	26330_AT1
ENSG00000159131	2618_AT2
ENSG00000171766	2628_AT1
ENSG00000070610	57704_AT1
ENSG00000114480	2632_AT1
ENSG00000148288	26301_AT1
ENSG00000100116	23464_AT1
ENSG00000105607	2639_AT2
ENSG00000131979	2643_AT1
ENSG00000106633	2645_AT2
ENSG00000001084	2729_AT1
ENSG00000023909	2730_AT1
ENSG00000187210	2650_AT1
ENSG00000111846	2651_AT1
ENSG00000140297	9245_AT1
ENSG00000176928	51301_AT1
ENSG00000124091	140687_AT1
ENSG00000140905	2653_AT1
ENSG00000119125	9615_AT1
ENSG00000198380	2673_AT1
ENSG00000131459	9945_AT1
ENSG00000006625	79017_AT1
ENSG00000137563	8836_AT1
ENSG00000152904	9453_AT1
ENSG00000100031	2678_AT1
ENSG00000099998	2687_AT1
ENSG00000167741	124975_AT1
ENSG00000131067	2686_AT1
ENSG00000149435	92086_AT1
ENSG00000100121	91227_AT1
ENSG00000198814	2710_AT1
ENSG00000196475	2712_AT1
ENSG00000102393	2717_AT1
ENSG00000170266	2720_AT1
ENSG00000163521	79411_AT1
ENSG00000138604	26035_AT1
ENSG00000178445	2731_AT1
ENSG00000124767	2739_AT1
ENSG00000173221	2745_AT1
ENSG00000023572	51022_AT2
ENSG00000115419	2744_AT1
ENSG00000135423	27165_AT1
ENSG00000204007	360203_AT1
ENSG00000016864	55830_AT1
ENSG00000120820	83468_AT1
ENSG00000139433	51228_AT1
ENSG00000148672	2746_AT1
ENSG00000182890	2747_AT1
ENSG00000135821	2752_AT1
ENSG00000149124	10249_AT1
ENSG00000168237	132158_AT1
ENSG00000196743	2760_AT1
ENSG00000112699	2762_AT1
ENSG00000144591	29926_AT2
ENSG00000173540	29925_AT2
ENSG00000137198	2766_AT1
ENSG00000100938	51292_AT1
ENSG00000163655	8833_AT1
ENSG00000159921	10020_AT1
ENSG00000124713	27232_AT1
ENSG00000113552	10007_AT1
ENSG00000163281	132789_AT1
ENSG00000100522	64841_AT1
ENSG00000135677	2799_AT1
ENSG00000120053	2805_AT1
ENSG00000125166	2806_AT1
ENSG00000197858	8733_AT1
ENSG00000119927	57678_AT1
ENSG00000158669	137964_AT1
ENSG00000125772	56261_AT1
ENSG00000167588	2819_AT1
ENSG00000115159	2820_AT1
ENSG00000105220	2821_AT1
ENSG00000167701	2875_AT1
ENSG00000166123	84706_AT1
ENSG00000233276	2876_AT2
ENSG00000176153	2877_AT1
ENSG00000211445	2878_AT1
ENSG00000167468	2879_AT1
ENSG00000224586	2880_AT1
ENSG00000198704	257202_AT1
ENSG00000116157	2882_AT1
ENSG00000164294	493869_AT1
ENSG00000137106	9380_AT1
ENSG00000104687	2936_AT1
ENSG00000100983	2937_AT1
ENSG00000134184	2944_AT1
ENSG00000213366	2946_AT1
ENSG00000100577	2954_AT2
ENSG00000048545	2978_AT1
ENSG00000152402	2977_AT1
ENSG00000070019	2984_AT1
ENSG00000132518	3000_AT1
ENSG00000101890	2986_AT1
ENSG00000143774	2987_AT1
ENSG00000169919	2990_AT1
ENSG00000163754	2992_AT1
ENSG00000056998	8908_AT1
ENSG00000104812	2997_AT1
ENSG00000111713	2998_AT1
ENSG00000049239	9563_AT1
ENSG00000162882	23498_AT1
ENSG00000165996	9200_AT1
ENSG00000206527	201562_AT1
ENSG00000074696	51495_AT1
ENSG00000188921	401494_AT1
ENSG00000131373	26061_AT1
ENSG00000138796	3033_AT1
ENSG00000084754	3030_AT1
ENSG00000138029	3032_AT1
ENSG00000063854	3029_AT1
ENSG00000103253	84264_AT2
ENSG00000084110	3034_AT1
ENSG00000101323	54363_AT1
ENSG00000116882	51179_AT2
ENSG00000105509	3036_AT1
ENSG00000170961	3037_AT1
ENSG00000103044	3038_AT2
ENSG00000126264	10870_AT1
ENSG00000140287	3067_AT1
ENSG00000115677	3069_AT1
ENSG00000089472	9843_AT1
ENSG00000213614	3073_AT1
ENSG00000049860	3074_AT1
ENSG00000113924	3081_AT1
ENSG00000106049	11112_AT1
ENSG00000198130	26275_AT1
ENSG00000146066	192286_AT1
ENSG00000156515	3098_AT1
ENSG00000159399	3099_AT1
ENSG00000160883	3101_AT1
ENSG00000156510	80201_AT1
ENSG00000159267	3141_AT1
ENSG00000256269	3145_AT1
ENSG00000117305	3155_AT1
ENSG00000146151	54511_AT1
ENSG00000113161	3156_AT1
ENSG00000112972	3157_AT1
ENSG00000134240	3158_AT1
ENSG00000100292	3162_AT1
ENSG00000103415	3163_AT1
ENSG00000150540	3176_AT1
ENSG00000158104	3242_AT1
ENSG00000164120	3248_AT1
ENSG00000163106	27306_AT1
ENSG00000165704	3251_AT1
ENSG00000153936	9653_AT1
ENSG00000002587	9957_AT1
ENSG00000122254	9956_AT1
ENSG00000153976	9955_AT1
ENSG00000125430	9953_AT1
ENSG00000182601	9951_AT1
ENSG00000249853	222537_AT1
ENSG00000162040	64711_AT1
ENSG00000136720	9394_AT1
ENSG00000171004	90161_AT1
ENSG00000185352	266722_AT1
ENSG00000203857	3283_AT1
ENSG00000203859	3284_AT1
ENSG00000099377	80270_AT1
ENSG00000117594	3290_AT2
ENSG00000167733	374875_AT1
ENSG00000176387	3291_AT1
ENSG00000108786	3292_AT1
ENSG00000086696	3294_AT1
ENSG00000130948	3293_AT1
ENSG00000133835	3295_AT1
ENSG00000025423	8630_AT1
ENSG00000132196	51478_AT1
ENSG00000204228	7923_AT1
ENSG00000072506	3028_AT1
ENSG00000198189	51170_AT1
ENSG00000149084	51144_AT1
ENSG00000087076	51171_AT1
ENSG00000109854	10553_AT1
ENSG00000186792	8372_AT1
ENSG00000188266	123688_AT1
ENSG00000138413	3417_AT1
ENSG00000182054	3418_AT1
ENSG00000166411	3419_AT1
ENSG00000101365	3420_AT1
ENSG00000067829	3421_AT2
ENSG00000067064	3422_AT1
ENSG00000148377	91734_AT1
ENSG00000131203	3620_AT1
ENSG00000188676	169355_AT1
ENSG00000010404	3423_AT1
ENSG00000127415	3425_AT1
ENSG00000104951	259307_AT1
ENSG00000133731	3612_AT1
ENSG00000141401	3613_AT1
ENSG00000106348	3614_AT2
ENSG00000178035	3615_AT1
ENSG00000151689	3628_AT1
ENSG00000040933	3631_AT1
